text-de,class,text-en,class-formatted,class-en
Ich hätte gerne mehr Informationen zu Ihrem Smartphone-Modell. Könnten Sie mir bitte Details zu den Funktionen und Preisen geben?, Produktanfragen,I would like more information about your smartphone model. Could you please give me details about the functions and prices?,Produktanfragen,Product Enquiries
"Guten Tag, ich interessiere mich für Ihre Möbelstücke. Können Sie mir sagen, ob sie derzeit verfügbar sind?", Produktanfragen,"Hello, I'm interested in your pieces of furniture. Can you tell me if they are currently available?",Produktanfragen,Product Enquiries
"Sehr geehrtes Team, gibt es eine Garantie für das Elektrogerät, das ich bei Ihnen gekauft habe?", Produktanfragen,"Dear team, is there a guarantee for the electrical device I bought from you?",Produktanfragen,Product Enquiries
Können Sie mir Kundenbewertungen für das Produkt XYZ zur Verfügung stellen?, Produktanfragen,Can you provide me with customer reviews for the product XYZ?,Produktanfragen,Product Enquiries
"Hallo, wie funktioniert das Rückgaberecht für die bei Ihnen gekauften Produkte?", Produktanfragen,"Hello, how does the right of return for the products purchased from you work?",Produktanfragen,Product Enquiries
"Ich stehe vor der Entscheidung zwischen zwei Laptops auf Ihrer Website. Können Sie mir helfen, die Unterschiede zu verstehen?", Produktanfragen,I'm about to decide between two laptops on your website. Can you help me understand the differences?,Produktanfragen,Product Enquiries
"Guten Tag, bieten Sie Zubehör für Drucker wie Tinte und Papier an?", Produktanfragen,"Good afternoon, do you offer accessories for printers such as ink and paper?",Produktanfragen,Product Enquiries
"Hallo, ich suche die Bedienungsanleitung für das Haushaltsgerät, das ich bei Ihnen gekauft habe. Können Sie mir weiterhelfen?", Produktanfragen,"Hello, I'm looking for the manual for the household appliance I bought from you.",Produktanfragen,Product Enquiries
Ich möchte gerne mehr über die Funktionen und Merkmale Ihres neuen Produkts erfahren., Produktanfragen,I would like to learn more about the functions and features of your new product.,Produktanfragen,Product Enquiries
"Können Sie mir ein Fahrradmodell empfehlen, das meinen Anforderungen entspricht?", Produktanfragen,Can you recommend me a bike model that meets my requirements?,Produktanfragen,Product Enquiries
"Guten Tag, ich interessiere mich für Ihr neues Produkt. Ist es auch in anderen Farben erhältlich?", Produktanfragen,"Hello, I am interested in your new product. Is it also available in other colours?",Produktanfragen,Product Enquiries
"Sehr geehrtes Team, ich habe eine Frage zu den verfügbaren Größen für die Kleidungsstücke auf Ihrer Website.", Produktanfragen,"Dear team, I have a question about the available sizes for the garments on your website.",Produktanfragen,Product Enquiries
"Hallo, könnten Sie mir Auskunft darüber geben, welche Zahlungsmethoden auf Ihrer Website akzeptiert werden?", Produktanfragen,"Hello, could you tell me which payment methods are accepted on your website?",Produktanfragen,Product Enquiries
"Ich möchte gerne wissen, ob das von Ihnen angebotene Produkt auch in anderen Farben erhältlich ist.", Produktanfragen,I would like to know if the product you offer is also available in other colours.,Produktanfragen,Product Enquiries
"Guten Tag, ich habe eine Frage zu den Lieferzeiten für die Produkte auf Ihrer Website.", Produktanfragen,"Good afternoon, I have a question about the delivery times for the products on your website.",Produktanfragen,Product Enquiries
"Hallo, ich suche nach einem bestimmten Produkt, das ich auf Ihrer Website nicht finden kann. Können Sie mir dabei behilflich sein?", Produktanfragen,"Hello, I'm looking for a particular product that I can't find on your website. Can you help me with this?",Produktanfragen,Product Enquiries
"Ich interessiere mich für Ihr neues Produkt und würde gerne wissen, ob es auch in anderen Ausführungen erhältlich ist.", Produktanfragen,I am interested in your new product and would like to know if it is also available in other versions.,Produktanfragen,Product Enquiries
"Sehr geehrtes Team, ich habe eine Frage zu den verfügbaren Größen für die Kleidungsstücke auf Ihrer Website.", Produktanfragen,"Dear team, I have a question about the available sizes for the garments on your website.",Produktanfragen,Product Enquiries
